2026-03-03 20:03:41,138 [PIPELINE]   [1988] Features: 21 bands
2026-03-03 20:04:24,726 [EXPORT]   Saved stage_1988.png (809,441 bytes)
2026-03-03 20:05:39,026 [EXPORT]   Saved 1988.png (1,649,365 bytes)
2026-03-03 20:06:19,998 [EXPORT]   Saved ndvi_1988.png (1,449,310 bytes)
2026-03-03 20:06:07,030 [EXPORT]   Saved ndwi_1988.png (1,339,248 bytes)
2026-03-03 20:07:20,081 [EXPORT]   Saved savi_1988.png (1,449,578 bytes)
2026-03-03 20:07:55,119 [EXPORT]   Saved mndwi_1988.png (1,212,120 bytes)
2026-03-03 20:08:49,613 [EXPORT]   Saved ndbi_1988.png (1,481,874 bytes)
2026-03-03 20:09:51,359 [EXPORT]   Saved awei_1988.png (1,293,156 bytes)
2026-03-03 20:09:57,601 [EXPORT]   Saved jrc_static.png (334,495 bytes)
2026-03-03 20:10:01,970 [EXPORT]   Saved glo30_static.png (260,274 bytes)
2026-03-03 20:10:05,791 [PIPELINE]   [2000] Features: 21 bands
2026-03-03 20:10:54,437 [EXPORT]   Saved stage_2000.png (415,914 bytes)
2026-03-03 20:11:28,136 [EXPORT]   Saved 2000.png (1,170,748 bytes)
2026-03-03 20:12:03,126 [EXPORT]   Saved ndvi_2000.png (1,023,309 bytes)
2026-03-03 20:13:03,163 [EXPORT]   Saved ndwi_2000.png (781,338 bytes)
2026-03-03 20:13:36,555 [EXPORT]   Saved savi_2000.png (957,645 bytes)
2026-03-03 20:14:15,913 [EXPORT]   Saved mndwi_2000.png (789,718 bytes)
2026-03-03 20:15:13,969 [EXPORT]   Saved ndbi_2000.png (1,069,655 bytes)
2026-03-03 20:15:45,154 [EXPORT]   Saved awei_2000.png (996,194 bytes)
2026-03-03 20:15:50,746 [PIPELINE]   [2009] Features: 21 bands
2026-03-03 20:27:08,469 [EXPORT]   Saved stage_2009.png (306,756 bytes)
